,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.278,0.9999999999837206,257.08050000000003,-128.54025000000001
0.279,0.9999999999837458,258.040125,-129.0200625
0.28,0.9999999999837711,259.0,-129.5
0.281,0.9999999999837963,259.96012500000006,-129.9800625
0.282,0.9999999999838215,260.9205,-130.46025000000003
0.283,0.9999999999838468,261.881125,-130.9405625
0.284,0.9999999999838719,262.842,-131.421
0.285,0.9999999999838972,263.80312499999997,-131.9015625
0.286,0.9999999999839224,264.76450000000006,-132.38225
0.287,0.9999999999839477,265.726125,-132.8630625
0.288,0.9999999999839728,266.688,-133.344
0.289,0.9999999999839982,267.650125,-133.82506249999997
0.29,0.9999999999840236,268.61249999999995,-134.30625
0.291,0.9999999999840486,269.57512499999996,-134.78756249999998
0.292,0.9999999999840742,270.538,-135.269
0.293,0.9999999999840993,271.501125,-135.75056250000003
0.294,0.9999999999841246,272.4645,-136.23225
0.295,0.99999999998415,273.428125,-136.7140625
0.296,0.9999999999841752,274.392,-137.19600000000003
0.297,0.9999999999842005,275.356125,-137.6780625
0.298,0.9999999999842258,276.32050000000004,-138.16025
0.299,0.999999999984251,277.285125,-138.6425625
0.3,0.9999999999842766,278.25,-139.125
0.301,0.9999999999843019,279.21512500000006,-139.60756250000003
0.302,0.9999999999843272,280.18050000000005,-140.09025
0.303,0.9999999999843526,281.1461250000001,-140.57306250000002
0.304,0.9999999999843778,282.1120000000001,-141.056
0.305,0.9999999999844033,283.078125,-141.5390625
0.306,0.9999999999844286,284.0445,-142.02224999999999
0.307,0.999999999984454,285.011125,-142.5055625
0.308,0.9999999999844793,285.97800000000007,-142.989
0.309,0.9999999999845047,286.9451250000001,-143.4725625
0.31,0.99999999998453,287.9124999999999,-143.95624999999998
0.311,0.9999999999845557,288.880125,-144.4400625
0.312,0.9999999999845811,289.848,-144.92399999999998
0.313,0.9999999999846064,290.81612499999994,-145.40806249999997
0.314,0.9999999999846317,291.7845,-145.89225000000002
0.315,0.9999999999846574,292.753125,-146.37656249999998
0.316,0.9999999999846828,293.722,-146.86099999999996
0.317,0.9999999999847081,294.691125,-147.34556250000003
0.318,0.9999999999847338,295.6605,-147.83025
0.319,0.9999999999847589,296.6301249999999,-148.3150625
0.32,0.9999999999847844,297.59999999999997,-148.8
0.321,0.9999999999848098,298.5701250000001,-149.28506249999998
0.322,0.9999999999848354,299.5405,-149.77025
0.323,0.999999999984861,300.511125,-150.2555625
0.324,0.9999999999848865,301.48199999999997,-150.74099999999999
0.325,0.9999999999849116,302.453125,-151.2265625
0.326,0.9999999999849375,303.4245,-151.71225
0.327,0.9999999999849629,304.39612500000004,-152.19806250000002
0.328,0.9999999999849883,305.36799999999994,-152.68399999999997
0.329,0.9999999999850142,306.340125,-153.17006250000003
0.33,0.9999999999850396,307.3125,-153.65625
0.331,0.999999999985065,308.285125,-154.1425625
0.332,0.9999999999850907,309.258,-154.629
0.333,0.9999999999851161,310.23112499999996,-155.1155625
0.334,0.9999999999851417,311.20450000000005,-155.60225000000003
0.335,0.9999999999851672,312.178125,-156.0890625
0.336,0.9999999999851927,313.1520000000001,-156.57600000000002
0.337,0.9999999999852185,314.12612500000006,-157.06306250000003
0.338,0.999999999985244,315.1005,-157.55024999999998
0.339,0.9999999999852694,316.0751249999999,-158.03756249999995
0.34,0.9999999999852951,317.05,-158.525
0.341,0.999999999985321,318.02512499999995,-159.01256249999997
0.342,0.9999999999853462,319.0005,-159.50025
0.343,0.9999999999853721,319.976125,-159.9880625
0.344,0.9999999999853975,320.95200000000006,-160.476
0.345,0.9999999999854233,321.928125,-160.96406249999998
0.346,0.9999999999854489,322.9045,-161.45225
0.347,0.9999999999854745,323.881125,-161.9405625
0.348,0.9999999999855003,324.858,-162.42900000000003
0.349,0.9999999999855259,325.835125,-162.9175625
0.35,0.9999999999855514,326.8125,-163.40624999999997
0.351,0.9999999999855772,327.790125,-163.89506249999997
0.352,0.9999999999856026,328.7679999999999,-164.38399999999996
0.353,0.9999999999856285,329.746125,-164.87306249999997
0.354,0.9999999999856544,330.72450000000003,-165.36225000000002
0.355,0.9999999999856798,331.703125,-165.8515625
0.356,0.9999999999857054,332.682,-166.341
0.357,0.9999999999857313,333.661125,-166.83056249999998
0.358,0.9999999999857571,334.64050000000003,-167.32025
0.359,0.9999999999857828,335.620125,-167.81006250000002
0.36,0.9999999999858086,336.5999999999999,-168.3
0.361,0.9999999999858342,337.580125,-168.79006250000003
0.362,0.9999999999858601,338.5605,-169.28025
0.363,0.9999999999858856,339.54112499999997,-169.77056249999995
0.364,0.9999999999859115,340.52200000000005,-170.26100000000002
0.365,0.9999999999859371,341.503125,-170.7515625
0.366,0.9999999999859629,342.48449999999997,-171.24224999999998
0.367,0.9999999999859888,343.466125,-171.73306250000002
0.368,0.9999999999860145,344.44800000000004,-172.224
0.369,0.9999999999860403,345.4301250000001,-172.71506250000004
0.37,0.9999999999860663,346.4125,-173.20625
0.371,0.9999999999860919,347.395125,-173.6975625
0.372,0.9999999999861177,348.37800000000004,-174.18900000000002
0.373,0.9999999999861436,349.3611249999999,-174.68056249999998
0.374,0.9999999999861694,350.34450000000004,-175.17225000000002
0.375,0.9999999999861952,351.328125,-175.66406249999997
0.376,0.9999999999862209,352.31199999999995,-176.15599999999998
0.377,0.9999999999862469,353.29612499999996,-176.6480625
0.378,0.9999999999862729,354.28049999999996,-177.14025
0.379,0.9999999999862985,355.265125,-177.6325625
0.38,0.9999999999863244,356.25,-178.125
0.381,0.9999999999863503,357.235125,-178.6175625
0.382,0.9999999999863761,358.2204999999999,-179.11024999999998
0.383,0.999999999986402,359.206125,-179.60306250000002
0.384,0.999999999986428,360.192,-180.096
0.385,0.9999999999864537,361.17812499999997,-180.58906249999998
0.386,0.9999999999864797,362.1645000000001,-181.08225000000004
0.387,0.9999999999865056,363.151125,-181.5755625
0.388,0.9999999999865314,364.13800000000003,-182.06900000000002
0.389,0.9999999999865574,365.1251249999999,-182.56256249999998
0.39,0.9999999999865833,366.11249999999995,-183.05624999999998
0.391,0.9999999999866094,367.100125,-183.55006249999997
0.392,0.9999999999866352,368.0879999999999,-184.04399999999998
0.393,0.9999999999866611,369.076125,-184.53806250000002
0.394,0.9999999999866872,370.0645,-185.03225
0.395,0.999999999986713,371.05312499999997,-185.52656249999998
0.396,0.9999999999867392,372.042,-186.02100000000004
0.397,0.999999999986765,373.031125,-186.5155625
0.398,0.999999999986791,374.0205,-187.01025
0.399,0.9999999999868171,375.0101250000001,-187.5050625
0.4,0.9999999999868426,375.99999999999994,-188.0
0.401,0.999999999986869,376.99012500000003,-188.49506250000002
0.402,0.9999999999868949,377.9805,-188.99025
0.403,0.9999999999869209,378.971125,-189.4855625
0.404,0.9999999999869469,379.962,-189.981
0.405,0.999999999986973,380.95312499999994,-190.4765625
0.406,0.9999999999869991,381.94449999999995,-190.97224999999997
0.407,0.999999999987025,382.936125,-191.4680625
0.408,0.9999999999870511,383.928,-191.96399999999997
0.409,0.999999999987077,384.920125,-192.46006250000002
0.41,0.9999999999871031,385.91249999999997,-192.95625
0.411,0.9999999999871293,386.905125,-193.4525625
0.412,0.9999999999871552,387.8979999999999,-193.94899999999998
0.413,0.9999999999871815,388.891125,-194.44556250000002
0.414,0.9999999999872076,389.8845,-194.94225
0.415,0.9999999999872337,390.878125,-195.4390625
0.416,0.9999999999872595,391.8719999999999,-195.93599999999995
0.417,0.9999999999872857,392.866125,-196.4330625
0.418,0.9999999999873117,393.8605,-196.93025
0.419,0.9999999999873381,394.85512500000004,-197.42756250000002
0.42,0.9999999999873641,395.84999999999997,-197.92499999999995
0.421,0.99999999998739,396.84512500000005,-198.42256250000003
0.422,0.9999999999874163,397.8404999999998,-198.9202499999999
0.423,0.9999999999874424,398.83612500000004,-199.41806250000002
0.424,0.9999999999874687,399.83200000000016,-199.91600000000008
0.425,0.9999999999874947,400.8281249999999,-200.41406249999994
0.426,0.9999999999875211,401.8244999999999,-200.91224999999994
0.427,0.9999999999875471,402.821125,-201.4105625
0.428,0.9999999999875733,403.818,-201.909
