Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
420, 7.00000, 0.000306981, -46.8068, 0.00030707, -166.759, 0.000307246, 73.2026, 0.000158971, 43.7138, 0.000159017, -76.2388, 0.000159108, 163.723
540, 9.00000, 5.11714E-009, -75.009, 9.21502E-009, 178.98, 9.22437E-009, 31.2033, 2.06108E-009, 15.3959, 3.71163E-009, -90.6152, 3.71539E-009, 121.608
660, 11.00000, 56.0901, 3.9581, 56.0901, 123.958, 56.0901, -116.042, 18.4845, 94.2894, 18.4845, -145.711, 18.4845, -25.7106
780, 13.00000, 25.8383, 19.088, 25.8383, -100.912, 25.8383, 139.088, 7.20504, 109.368, 7.20504, -10.6317, 7.20504, -130.632
900, 15.00000, 1.42666E-009, 47.9094, 6.08233E-009, 165.118, 5.57628E-009, -28.0338, 3.44783E-010, 138.152, 1.46993E-009, -104.639, 1.34763E-009, 62.2091
60, 1.00000, 7964.15, -0.374689, 7964.15, -120.375, 7964.15, 119.625, 189.047, -1.02292, 189.047, -121.023, 189.047, 118.977
180, 3.00000, 6.64727E-009, -166.484, 2.60147E-008, 71.1231, 2.31449E-008, -94.8419, 8.03056E-009, -75.2696, 3.14283E-008, 162.338, 2.79613E-008, -3.62744
300, 5.00000, 0.00361593, -167.557, 0.00361551, -47.5553, 0.00361562, 72.438, 0.00262142, -76.8285, 0.00262111, 43.1734, 0.00262119, 163.167
420, 7.00000, 0.00359945, -5.91997, 0.00359975, -125.908, 0.00360027, 114.082, 0.00186398, 84.6006, 0.00186413, -35.3871, 0.0018644, -155.397
540, 9.00000, 1.79576E-008, -30.1146, 3.23016E-008, -135.766, 3.24483E-008, 76.436, 7.23296E-009, 60.2903, 1.30104E-008, -45.3608, 1.30695E-008, 166.841
660, 11.00000, 223.706, 53.0589, 223.706, 173.059, 223.706, -66.9411, 73.7222, 143.39, 73.7222, -96.6098, 73.7222, 23.3902
780, 13.00000, 116.086, 71.0211, 116.086, -48.9789, 116.086, -168.979, 32.3708, 161.301, 32.3708, 41.3014, 32.3708, -78.6986
900, 15.00000, 7.23936E-009, 101.793, 3.04768E-008, -140.966, 2.79152E-008, 25.7033, 1.74955E-009, -167.964, 7.36538E-009, -50.7231, 6.74632E-009, 115.946
60, 1.00000, 7965.18, -0.288154, 7965.18, -120.288, 7965.18, 119.712, 145.372, -0.859017, 145.372, -120.859, 145.372, 119.141
180, 3.00000, 5.88781E-010, -166.088, 2.2987E-009, 71.479, 2.04426E-009, -94.4518, 7.11306E-010, -74.874, 2.77706E-009, 162.694, 2.46967E-009, -3.23726
300, 5.00000, 0.000325544, -166.394, 0.000325507, -46.3924, 0.000325516, 73.601, 0.000236007, -75.6656, 0.000235981, 44.3364, 0.000235987, 164.33
420, 7.00000, 0.000323741, -4.34979, 0.000323767, -124.338, 0.000323813, 115.652, 0.00016765, 86.1708, 0.000167663, -33.8172, 0.000167687, -153.827
540, 9.00000, 1.60344E-009, -28.7473, 2.86132E-009, -134.569, 2.87341E-009, 77.9033, 6.45835E-010, 61.6576, 1.15248E-009, -44.1639, 1.15735E-009, 168.308
660, 11.00000, 19.8317, 54.8375, 19.8317, 174.838, 19.8317, -65.1625, 6.53553, 145.169, 6.53553, -94.8312, 6.53553, 25.1688
780, 13.00000, 10.3061, 73.1112, 10.3061, -46.8888, 10.3061, -166.889, 2.87388, 163.391, 2.87388, 43.3915, 2.87388, -76.6085
900, 15.00000, 6.39981E-010, 104.18, 2.71064E-009, -138.457, 2.48243E-009, 28.3072, 1.54665E-010, -165.577, 6.55086E-010, -48.2141, 5.99933E-010, 118.55
60, 1.00000, 7911.44, -2.9042, 7911.44, -122.904, 7911.44, 117.096, 1470.26, -5.84287, 1470.26, -125.843, 1470.26, 114.157
180, 3.00000, 4.30095E-010, 179.606, 1.68839E-009, 57.0615, 1.50145E-009, -108.965, 5.19597E-010, -89.179, 2.03974E-009, 148.276, 1.8139E-009, -17.7506
300, 5.00000, 9.8054E-005, 162.298, 9.80278E-005, -77.6997, 9.80376E-005, 42.2859, 7.10856E-005, -106.973, 7.10665E-005, 13.029, 7.10737E-005, 133.015
420, 7.00000, 9.95397E-005, -43.2548, 9.95498E-005, -163.229, 9.95837E-005, 76.7531, 5.15468E-005, 47.2658, 5.1552E-005, -72.7083, 5.15696E-005, 167.274
